name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
MTN Group,2119.69億, - MTN Group Limited (JSE),ZAC,,21196900000000,
Workday,280.50億, - Workday Inc (NASDAQ),USD,1.0,2805000000000,2805000000000
Renesas Electronics,1.79兆, - Renesas Electronics Corporation (TYO),JPY,0.0092,179000000000000,1646800000000
SK Telecom,18.37兆, - SK Telecom Co Ltd (KRX),KRW,0.0009,1837000000000000,1653300000000
Microchip Technology,223.87億, - Microchip Technology Inc. (NASDAQ),USD,1.0,2238700000000,2238700000000
Legrand,173.38億, - Legrand SA (EPA),EUR,1.1558,1733800000000,2003926040000
Liberty Broadband,128.91億, - Liberty Broadband Corp Series A (NASDAQ),USD,1.0,1289100000000,1289100000000
Capgemini,193.08億, - Capgemini SE (EPA),EUR,1.1558,1930800000000,2231618640000
Focus Media Information Technology,1417.64億, - 分眾傳媒 (SHE),CNY,0.1558,14176400000000,2208683120000
Rakuten,1.04兆, - Rakuten Inc (TYO),JPY,0.0092,104000000000000,956800000000
Red Hat,290.42億, - Red Hat Inc (NYSE),USD,1.0,2904200000000,2904200000000
KLA-Tencor,177.52億, - KLA-Tencor Corp (NASDAQ),USD,1.0,1775200000000,1775200000000
Advanced Info Service,5752.94億, - Advanced Info Service PCL (BKK),THB,0.0312,57529400000000,1794917280000
Best Buy,193.78億, - Best Buy Co Inc (NYSE),USD,1.0,1937800000000,1937800000000
SBA Communications,181.89億, - SBA Communications Corporation (NASDAQ),USD,1.0,1818900000000,1818900000000
AAC Technologies Holdings,1462.73億, - 瑞聲科技 (HKG),HKD,0.1275,14627300000000,1864980750000
ServiceNow,312.01億, - ServiceNow Inc (NYSE),USD,1.0,3120100000000,3120100000000
CGI Group,"428,473", - CGI Group Inc (TSE),CAD,0.7676,,
Xilinx,175.44億," - Xilinx, Inc. (NASDAQ)",USD,1.0,1754400000000,1754400000000
Delta Electronics,2974.19億, - 台達電子 (TPE),TWD,,29741900000000,
Seagate Technology,166.09億, - Seagate Technology PLC (NASDAQ),USD,1.0,1660900000000,1660900000000
Harris,180.49億, - Harris Corporation (NYSE),USD,1.0,1804900000000,1804900000000
STMicroelectronics,,,,1.0,,
Dell Technologies,162.53億, - Dell Technologies Inc (NYSE),USD,1.0,1625300000000,1625300000000
WW Grainger,169.77億, - W W Grainger Inc (NYSE),USD,1.0,1697700000000,1697700000000
CenturyLink,197.11億, - Centurylink Inc (NYSE),USD,1.0,1971100000000,1971100000000
CA,147.84億," - CA, Inc. (NASDAQ)",USD,1.0,1478400000000,1478400000000
Iliad,84.26億, - Iliad SA (EPA),EUR,1.1558,842600000000,973877080000
Citrix Systems,143.74億," - Citrix Systems, Inc. (NASDAQ)",USD,1.0,1437400000000,1437400000000
Olympus,1.31兆, - Olympus Corp (TYO),JPY,0.0092,131000000000000,1205200000000
ATOS,885.09萬, - Atossa Genetics Inc (NASDAQ),USD,1.0,,
Taiwan Mobile,,,,1.0,,
